"Year","Countries","Global_Mean","Global_Median","Global_Min","Global_Max"
2010,273,210.223443223443,94,3,1311
2011,273,201.189743589744,91,2,1264
2012,273,194.128937728938,88,2,1245
2013,273,186.383882783883,85,2,1216
2014,273,181.149450549451,82,2,1216
2015,273,176.027838827839,81,1,1436
2016,273,170.555311355311,78,1,1629
2017,273,163.339194139194,77,1,1662
2018,273,153.933333333333,77,1,1118
2019,273,150.687912087912,75,1,1650
2020,273,149.250549450549,88,2,1296
2021,273,166.78315018315,118.2,2,1127
2022,273,138.162637362637,86,1,1016
2023,273,131.054212454212,70,1,993
